Trajectory file for run 'run1'; etymon number :783:
#n̪ˌut̪rˈiːt̪iˈoːn̪em# >>> #n̪ʲwaʁizwɛ̃# ( Correct : #n̪uʁisɔ̃#) :
n̪ ˌu t̪ r ˈiː t̪ i ˈoː n̪ e m 
#n̪ˌʊt̪rˈiːt̪ɪˈoːn̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#n̪ˌʊt̪rˈiːt̪jˈoːn̪ɛm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#n̪ˌʊt̪rˈiːt̪ʝˈoːn̪ɛm# | Rule 27 : j > ʝ / __ [+syl]
#n̪ˌʊt̪rˈit̪ʝˈon̪ɛm# | Rule 54 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,0delrel] 
#n̪ˌot̪rˈit̪ʝˈon̪ɛm# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#n̪ˌot̪rˈit̪ʝˈon̪ɛ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#n̪ˌot̪rˈit͡sʲʝˈon̪ɛ# | Rule 73 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#n̪ˌot̪rˈit͡sʲˈon̪ɛ# | Rule 85 : ʝ > ∅ / [-cont,+hi,+front] __ 
#n̪ˌot̪rˈiːt͡sʲˈoːn̪ɛ# | Rule 109 : [+prim] > [+long] / __ [+cons] [-cons]
#n̪ˌot̪rˈiːt͡sʲˈũːn̪ɛ# | Rule 162 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas,+cons]
#n̪ˌot̪rˈiːt͡sʲˈũːn̪ə# | Rule 261 : [-stres,-lo,+syl] > ə / __ #
#n̪ˌot̪rˈiːt͡sʲˈũːn̪ə̯# | Rule 263 : ə > ə̯ 
#n̪ˌot̪rˈiːt͡sʲˈũːn̪# | Rule 297 : ə̯ > ∅ 
#n̪ʲˌot̪ʲrʲˈiːt͡sʲˈũːn̪ʲ# | Rule 320 : [+cor,+ant,-lat] > [+hi,+front] 
#n̪ʲˌot̪ʲrʲˈiːd͡zʲˈũːn̪ʲ# | Rule 347 : [-voi] > [+voi] / [-cons] __ [-cons]
#n̪ʲˌod̪ʲrʲˈiːd͡zʲˈũːn̪ʲ# | Rule 348 : [-voi,-delrel,+ant] > [+voi] / [-cons] __ [+cor,+son,-nas]
#n̪ʲˌod̪ʲrˈiːd͡zʲˈũːn̪ʲ# | Rule 378 : rʲ > r 
#n̪ʲˌojd̪rˈiːjd͡zˈũːjn̪# | Rule 380 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} / [-cons] __ 
#n̪ʲˌojd̪rˈiːjd͡zˈũjn̪# | Rule 384 : [+syl] > [-long,-splng] / __ [-syl] [-syl] ( [-syl] )* #
#n̪ʲˌojd̪rˈijd͡zˈũjn̪# | Rule 385 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#n̪ʲˌojðrˈijd͡zˈũjn̪# | Rule 447 : [-cont,-delrel,+cor] > ð / [-cons] __ [+son,+cor]
#n̪ʲˌojðrˈid͡zˈũjn̪# | Rule 453 : j > ∅ / [+hi,+front,+tense,-cons] __ 
#n̪ʲˌujðrˈid͡zˈũjn̪# | Rule 549 : [+round,+tense,+back] > [+hi] 
#n̪ʲˌujrˈid͡zˈũjn̪# | Rule 593 : {θ;ð} > {∅;∅} 
#n̪ʲˌujrˈid͡zˈũj̃n̪# | Rule 610 : j > j̃ / __ [+nas,+cons]
#n̪ʲˌujrˈid͡zwˈĩn̪# | Rule 613 : {ũ j̃;ˌũ j̃;ˈũ j̃} > {w ĩ;w ˌĩ;w ˈĩ} 
#n̪ʲˌuɛ̯rˈid͡zwˈĩn̪# | Rule 616 : j > ɛ̯ / [+syl,+back,+round] __ 
#n̪ʲwˌɛrˈid͡zwˈĩn̪# | Rule 617 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#n̪ʲwˌɛrˈizwˈĩn̪# | Rule 632 : [+delrel] > [+cont,0delrel] 
#n̪ʲwˌɛrˈizwˈẽn̪# | Rule 644 : [+front,+nas,+syl] > [-hi] / w __ 
#n̪ʲwˌɛrˈizwˈẽː# | Rule 652 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#n̪ʲwˌɛrˈizwˈɛ̃ː# | Rule 660 : [+front,-round,+syl,-lo] > [-hi,-tense,-cons,-lat,+cont,0delrel] / w __ 
#n̪ʲwˌɛʀˈizwˈɛ̃ː# | Rule 733 : r > ʀ 
#n̪ʲwɛʀizwɛ̃ː# | Rule 734 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#n̪ʲwɛʀizwɛ̃# | Rule 735 : [+syl,+long] > [-long,-splng] 
#n̪ʲwaʀizwɛ̃# | Rule 740 : ɛ > a / w __ 
#n̪ʲwaʁizwɛ̃# | Rule 741 : ʀ > ʁ 
