Trajectory file for run 'run1'; etymon number :54:
#ˌɑn̪ɡˌust̪iˈoːsum# >>> #ɑ̃ɡwas?œ# ( Correct : #ɑ̃ɡwasø#) :
ˌɑ n̪ ɡ ˌu s t̪ i ˈoː s u m 
#ˌɑŋɡˌust̪iˈoːsum# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#ˌɑŋɡˌʊst̪ɪˈoːsʊm# | Rule 13 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɑŋɡˌʊst̪jˈoːsʊm# | Rule 22 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ˌɑŋɡˌʊst̪ʝˈoːsʊm# | Rule 25 : j > ʝ / __ [+syl]
#ˌɑŋɡˌʊst̪ʝˈosʊm# | Rule 48 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ˌɑŋɡˌost̪ʝˈosom# | Rule 58 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɑŋɡˌost̪ʝˈoso# | Rule 63 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ˌɑŋɡˌost͡sʲʝˈoso# | Rule 66 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#ˌɑŋɡˌost͡sʲˈoso# | Rule 76 : ʝ > ∅ / [-cont,+hi,+front] __ 
#ˌɑŋɡˌost͡sʲˈoːso# | Rule 90 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌɑŋɡˌost͡sʲˈoːzo# | Rule 110 : [+cont,-son] > [+voi] / [-cons] __ [+syl]
#ˌɑŋɡˌosʲsʲˈoːzo# | Rule 143 : s [+hi,+front,+cons] > sʲ sʲ
#ˌaŋɡˌosʲsʲˈoːzo# | Rule 160 : [+lo,+syl] > [+front,-back] 
#ˌaŋɡˌosʲ?ˈoːzo# | Rule 210 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#ˌaŋɡˌosʲ?ˈoːzə# | Rule 215 : [-stres,-lo,+syl] > ə 
#ˌaŋɡˌosʲ?ˈoːzə̯# | Rule 216 : ə > ə̯ 
#ˌaŋɡˌosʲ?ˈoːz# | Rule 228 : ə̯ > ∅ 
#ˌaŋɡˌojs?ˈoːz# | Rule 267 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#ˌaŋɡˌojs?ˈowz# | Rule 283 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#ˌaŋɡˌojs?ˈows# | Rule 297 : [-son] > [-voi] / __ #
#ˌãŋɡˌojs?ˈows# | Rule 359 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌãŋɡˌojs?ˈews# | Rule 373 : [+round,+back,+tense,-hi,+syl] > [-back,+front,-round,-lab] / __ w
#ˌãŋɡˌujs?ˈews# | Rule 378 : [+round,+tense,+back] > [+hi] 
#ˌãŋɡˌujs?ˈøws# | Rule 406 : [-hi,-lo,+tense,+syl] > [+round,+lab] / __ w
#ˌãŋɡˌujs?ˈøs# | Rule 410 : w > ∅ / [+round,+front,-hi,+syl] __ 
#ˌãŋɡˌuɛ̯s?ˈøs# | Rule 420 : j > ɛ̯ / [+syl,+back,+round] __ 
#ˌãŋɡwˌɛs?ˈøs# | Rule 423 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#ˌãːɡwˌɛs?ˈøs# | Rule 494 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˌãːɡwˌɛs?ˈø# | Rule 514 : [-son] > ∅ / __ #
#ãːɡwɛs?ø# | Rule 526 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ãɡwɛs?ø# | Rule 527 : [+syl,+long] > [-long,-splng] 
#ãɡwɛs?œ# | Rule 530 : ø > œ / __ ( [+cons] )* #
#ãɡwas?œ# | Rule 531 : ɛ > a / w __ 
#ɑ̃ɡwas?œ# | Rule 532 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
