Trajectory file for run 'run1'; etymon number :1008:
#rˌiwuskˈellum# >>> #ʁəvwasjsɛl# ( Correct : #ʁɥiso#) :
r ˌi w u s k ˈe l l u m 
#rˌiɣʷuskˈellum# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#rˌɪɣʷʊskˈɛllʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#rˌɪβʷʊskˈɛllʊm# | Rule 45 : ɣʷ > βʷ 
#rˌeβʷoskˈɛllom# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#rˌeβʷoskˈɛllo# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#rˌeβʷoskʲˈɛllo# | Rule 69 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#rˌeβʷoscˈɛllo# | Rule 70 : [+back,+front] > [-back] 
#rˌeβoscˈɛllo# | Rule 107 : {βʷ;ɸʷ} > {β;ɸ} 
#rˌeβosʲsʲˈɛllo# | Rule 146 : s [+hi,+front,+cons] > sʲ sʲ
#rˌeβəsʲsʲˈɛllo# | Rule 223 : [-stres,-lo,+syl] > ə / __ [-syl]
#rˌeβəsʲsʲˈɛllə# | Rule 224 : [-stres,-lo,+syl] > ə / __ #
#rˌeβə̯sʲsʲˈɛllə̯# | Rule 225 : ə > ə̯ 
#rˌeβəsʲsʲˈɛllə̯# | Rule 228 : ə̯ > ə / __ [+front,+cons]
#rˌeβəsʲsʲˈɛll# | Rule 238 : ə̯ > ∅ 
#rˌeβəjsjsˈɛll# | Rule 277 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#rˌevəjsjsˈɛll# | Rule 297 : β > v 
#rˌevəjsjsˈɛl# | Rule 351 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#rˌevejsjsˈɛl# | Rule 361 : ə > e / __ [+front,+son,+hi,-syl]
#rˌəvejsjsˈɛl# | Rule 373 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#rˌəvojsjsˈɛl# | Rule 383 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#rˌəvujsjsˈɛl# | Rule 387 : [+round,+tense,+back] > [+hi] 
#rˌəvuɛ̯sjsˈɛl# | Rule 429 : j > ɛ̯ / [+syl,+back,+round] __ 
#rˌəvwɛsjsˈɛl# | Rule 432 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#ʀˌəvwɛsjsˈɛl# | Rule 534 : r > ʀ 
#ʀəvwɛsjsɛl# | Rule 535 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʀəvwasjsɛl# | Rule 540 : ɛ > a / w __ 
#ʁəvwasjsɛl# | Rule 542 : ʀ > ʁ 
