Trajectory file for run 'run1'; etymon number :406:
#kˌɑmpin̪iˈoːn̪em# >>> #ʃɑ̃pæɲɔ̃# ( Correct : #ʃɑ̃piɲɔ̃n̪#) :
k ˌɑ m p i n̪ i ˈoː n̪ e m 
#kˌɑmpɪn̪ɪˈoːn̪ɛm# | Rule 11 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɑmpɪn̪jˈoːn̪ɛm# | Rule 20 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌɑmpɪn̪ʝˈoːn̪ɛm# | Rule 21 : j > ʝ / __ [+syl]
#kˌɑmpɪn̪ʝˈon̪ɛm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɑmpen̪ʝˈon̪ɛm# | Rule 47 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌɑmpen̪ʝˈon̪ɛ# | Rule 52 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kˌɑmpeɲˈon̪ɛ# | Rule 61 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɑmpeɲˈoːn̪ɛ# | Rule 71 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌampeɲˈoːn̪ɛ# | Rule 139 : [+lo,+syl] > [+front,-back] 
#kʲˌampeɲˈoːn̪ɛ# | Rule 174 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#cˌampeɲˈoːn̪ɛ# | Rule 183 : [+back,+front] > [-back] 
#t͡ʃˌampeɲˈoːn̪ɛ# | Rule 190 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˌampəɲˈoːn̪ə# | Rule 193 : [-stres,-lo,+syl] > ə 
#t͡ʃˌampə̯ɲˈoːn̪ə̯# | Rule 194 : ə > ə̯ 
#t͡ʃˌampəɲˈoːn̪ə̯# | Rule 197 : ə̯ > ə / __ [+front,+cons]
#t͡ʃˌampəɲˈoːn̪# | Rule 206 : ə̯ > ∅ 
#t͡ʃˌampəɲˈon̪# | Rule 220 : [+syl] > [-long,-splng] / __ [+cons] #
#t͡ʃˌampəɲˈun̪# | Rule 248 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#t͡ʃˌam̥pəɲˈun̪# | Rule 325 : [-son] > [-voi] / __ [-voi]
#t͡ʃˌam̥peɲˈun̪# | Rule 336 : ə > e / __ [+front,+son,+hi,-syl]
#t͡ʃˌãm̥peɲˈun̪# | Rule 343 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t͡ʃˌãm̥pẽɲˈun̪# | Rule 345 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t͡ʃˌãm̥pɛ̃ɲˈun̪# | Rule 369 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#t͡ʃˌãm̥pæ̃ɲˈun̪# | Rule 374 : [+nas,-hi,+syl] > [+lo] 
#t͡ʃˌãm̥pæ̃ɲˈũn̪# | Rule 397 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#ʃˌãm̥pæ̃ɲˈũn̪# | Rule 421 : [+delrel] > [+cont,.delrel] 
#ʃˌãːpæ̃ɲˈũn̪# | Rule 477 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʃˌãːpæ̃ɲˈũː# | Rule 478 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#ʃˌãːpæɲˈũː# | Rule 501 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#ʃãːpæɲũː# | Rule 509 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃãpæɲũ# | Rule 510 : [+syl,+long] > [-long,-splng] 
#ʃãpæɲɔ̃# | Rule 511 : [+back,-lo,+nas,+syl] > ɔ̃ 
#ʃɑ̃pæɲɔ̃# | Rule 515 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
