Trajectory file for run 'run1'; etymon number :1175:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪jɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 27 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 54 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,0delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 60 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˌɑxsũn̪ˈɑrʝɑ# | Rule 162 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas,+cons]
#t̪ˌɑxsũn̪ˈɑrʲɑ# | Rule 172 : r ʝ > rʲ 
#t̪ˌaxsũn̪ˈarʲa# | Rule 195 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçsũn̪ˈarʲa# | Rule 203 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲũn̪ˈarʲa# | Rule 211 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲũn̪ˈaːrʲa# | Rule 219 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#t̪ˌaçsʲən̪ˈaːrʲa# | Rule 260 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaçsʲən̪ˈɛːra# | Rule 262 : ˈaː rʲ > ˈɛː r / [+syl] ( [-syl] )* __ [+syl] #
#t̪ˌaçsʲə̯n̪ˈɛːra# | Rule 266 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈɛːra# | Rule 300 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈɛːra# | Rule 323 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈie̯ra# | Rule 374 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsn̪ˈie̯ra# | Rule 385 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈie̯rə# | Rule 434 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝsn̪ˈie̯rə# | Rule 451 : ç > ʝ 
#t̪ˌajsn̪ˈie̯rə# | Rule 457 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈie̯rə# | Rule 469 : s > z / __ [+voi,+cons]
#t̪ˌajn̪ˈie̯rə# | Rule 521 : z > ∅ / __ [+cons]
#t̪ˌajn̪jˈerə# | Rule 581 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#t̪ˌajn̪jˈɛrə# | Rule 598 : {ˈeː;ˈe} > {ˈɛː;ˈɛ} / __ [+cons] [+syl]
#t̪ˌɛjn̪jˈɛrə# | Rule 605 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#t̪ˌɛj̃n̪jˈɛrə# | Rule 611 : j > j̃ / __ [+nas,+cons]
#t̪ˌɛ̃j̃n̪jˈɛrə# | Rule 613 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t̪ˌɛ̃n̪jˈɛrə# | Rule 649 : j̃ > ∅ / [+nas,+front,-tense] __ 
#t̪ˌɛn̪jˈɛrə# | Rule 668 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#t̪ˌɛn̪jˈɛrə̯# | Rule 692 : ə > ə̯ / __ #
#t̪ˌɛn̪jˈɛr# | Rule 721 : ə̯ > ∅ 
#t̪ˌɛn̪jˈɛʀ# | Rule 734 : r > ʀ 
#t̪ɛn̪jɛʀ# | Rule 735 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛn̪jɛʁ# | Rule 742 : ʀ > ʁ 
