Trajectory file for run 'run1'; etymon number :1154:
#sˌuperkˈilium# >>> #səwʁizʲi# ( Correct : #suʁsi#) :
s ˌu p e r k ˈi l i u m 
#sˌʊpɛrkˈɪlɪʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌʊpɛrkˈɪljʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#sˌʊpɛrkˈɪlʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#sˌopɛrkˈelʝom# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌopɛrkˈelʝo# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌopɛrkʲˈelʝo# | Rule 69 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#sˌopɛrcˈelʝo# | Rule 70 : [+back,+front] > [-back] 
#sˌopɛrcˈeʎo# | Rule 82 : l ʝ > ʎ 
#sˌopɛrcˈeːʎo# | Rule 98 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌopɛrcˈiːʎo# | Rule 141 : ˈeː > ˈiː / [+cons,+hi,+front] __ 
#sˌopɛrt͡sʲˈiːʎo# | Rule 157 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#sˌopərt͡sʲˈiːʎo# | Rule 229 : [-stres,-lo,+syl] > ə / __ [-syl]
#sˌopərt͡sʲˈiːʎə# | Rule 230 : [-stres,-lo,+syl] > ə / __ #
#sˌopə̯rt͡sʲˈiːʎə̯# | Rule 232 : ə > ə̯ 
#sˌopɾət͡sʲˈiːʎə̯# | Rule 248 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [-cont] __ @
#sˌoprət͡sʲˈiːʎə̯# | Rule 254 : ɾ > r 
#sˌoprət͡sʲˈiːʎ# | Rule 260 : ə̯ > ∅ 
#sˌoprəd͡zʲˈiːʎ# | Rule 290 : [-voi] > [+voi] / [+syl] __ [+syl]
#sˌobrəd͡zʲˈiːʎ# | Rule 291 : [-voi,-delrel,+ant] > [+voi] / [+syl] __ [+cor,+son,-nas]
#sˌoβrəd͡zʲˈiːʎ# | Rule 295 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ r
#sˌowrəd͡zʲˈiːʎ# | Rule 320 : {β;ɣʷ} > {w;w} / __ ( ə ) [+cons]
#sˌewrəd͡zʲˈiːʎ# | Rule 406 : [+round,+back,+tense,-hi,+syl] > [-back,+front,-round,-lab] / __ w
#sˌewrid͡zʲˈiːʎ# | Rule 435 : {e;ə} > {i;i} / __ [+hi,+front,+cons]
#sˌəwrid͡zʲˈiːʎ# | Rule 437 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#sˌəwrizʲˈiːʎ# | Rule 471 : [+delrel] > [+cont,.delrel] 
#sˌəwrizʲˈiː# | Rule 489 : [+lat] > ∅ / [+hi,+syl] __ #
#sˌəwʀizʲˈiː# | Rule 558 : r > ʀ 
#səwʀizʲiː# | Rule 559 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#səwʀizʲi# | Rule 560 : [+syl,+long] > [-long,-splng] 
#səwʁizʲi# | Rule 566 : ʀ > ʁ 
