Trajectory file for run 'run1'; etymon number :679:
#mˌen̪t̪iˈoːn̪ikɑm# >>> #mæ̃sɔ̃ʃ# ( Correct : #mɑ̃sɔ̃ʒ#) :
m ˌe n̪ t̪ i ˈoː n̪ i k ɑ m 
#mˌɛn̪t̪ɪˈoːn̪ɪkɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪jˈoːn̪ɪkɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɛn̪t̪ʝˈoːn̪ɪkɑm# | Rule 27 : j > ʝ / __ [+syl]
#mˌɛn̪t̪ʝˈon̪ɪkɑm# | Rule 49 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑm# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑ# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɛn̪t͡sʲʝˈon̪ekɑ# | Rule 67 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#mˌɛn̪t͡sʲˈon̪ekɑ# | Rule 77 : ʝ > ∅ / [-cont,+hi,+front] __ 
#mˌɛn̪t͡sʲˈoːn̪ekɑ# | Rule 92 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛn̪t͡sʲˈoːn̪kɑ# | Rule 110 : e > ∅ / __ k [+lo,+syl]
#mˌɛn̪t͡sʲˈon̪kɑ# | Rule 127 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#mˌɛn̪t͡sʲˈũn̪kɑ# | Rule 136 : [+round,+tense,-hi,+stres] > [+hi,+nas,+son,.delrel] / __ [+nas,+cons]
#mˌɛn̪t͡sʲˈũn̪ka# | Rule 164 : [+lo,+syl] > [+front,-back] 
#mˌɛn̪t͡sʲˈũn̪kʲa# | Rule 194 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛn̪t͡sʲˈũn̪ca# | Rule 206 : [+back,+front] > [-back] 
#mˌɛn̪t͡sʲˈũn̪t͡ʃa# | Rule 215 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌen̪t͡sʲˈũn̪t͡ʃa# | Rule 312 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#mˌen̪t͡sʲˈũn̪t͡ʃə# | Rule 319 : a > ə / [+syl] ( [-syl] )* __ 
#mˌen̪t͡sˈũn̪t͡ʃə# | Rule 379 : t͡sʲ > t͡s 
#mˌẽn̪t͡sˈũn̪t͡ʃə# | Rule 387 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˌɛ̃n̪t͡sˈũn̪t͡ʃə# | Rule 412 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌæ̃n̪t͡sˈũn̪t͡ʃə# | Rule 417 : [+nas,-hi,+syl] > [+lo] 
#mˌæ̃n̪sˈũn̪ʃə# | Rule 464 : [+delrel] > [+cont,.delrel] 
#mˌæ̃ːsˈũːʃə# | Rule 520 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌæ̃ːsˈũːʃə̯# | Rule 534 : ə > ə̯ / __ #
#mˌæ̃ːsˈũːʃ# | Rule 541 : ə̯ > ∅ 
#mæ̃ːsũːʃ# | Rule 552 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mæ̃sũʃ# | Rule 553 : [+syl,+long] > [-long,-splng] 
#mæ̃sɔ̃ʃ# | Rule 554 : [+back,-lo,+nas,+syl] > ɔ̃ 
